from_id,to_id,travel_time
E00058114,non_FS_15,23.0
E00058114,non_FS_16,20.0
E00058071,non_FS_17,12.0
E00058072,non_FS_17,16.0
E00058047,non_FS_17,18.0
E00058070,non_FS_17,9.0
E00058056,non_FS_17,15.0
E00058065,non_FS_17,7.0
E00058068,non_FS_17,6.0
E00058073,non_FS_17,6.0
E00058061,non_FS_17,11.0
E00058059,non_FS_17,11.0
E00055693,non_FS_17,30.0
E00059166,non_FS_29,28.0
E00059167,non_FS_29,24.0
E00058049,non_FS_17,12.0
E00058057,non_FS_17,8.0
E00054695,non_FS_22,21.0
E00054695,non_FS_41,26.0
E00054662,non_FS_18,25.0
E00054662,non_FS_22,11.0
E00054662,non_FS_41,27.0
E00054691,non_FS_22,29.0
E00054691,non_FS_41,21.0
E00054694,non_FS_18,27.0
E00054694,non_FS_22,6.0
E00054689,non_FS_18,29.0
E00054689,non_FS_22,13.0
E00054689,non_FS_41,25.0
E00054687,non_FS_22,28.0
E00054687,non_FS_41,19.0
E00054692,non_FS_22,19.0
E00054692,non_FS_41,21.0
E00054690,non_FS_22,24.0
E00054690,non_FS_41,18.0
E00054686,non_FS_22,12.0
E00054686,non_FS_41,28.0
E00054685,non_FS_22,18.0
E00054685,non_FS_41,21.0
E00176169,non_FS_24,23.0
E00054555,non_FS_24,6.0
E00054549,non_FS_24,12.0
E00176140,non_FS_24,24.0
E00054552,non_FS_24,0.0
E00054547,non_FS_24,6.0
E00053801,non_FS_41,14.0
E00054679,non_FS_22,27.0
E00054679,non_FS_41,16.0
E00053800,non_FS_22,26.0
E00053800,non_FS_41,15.0
E00054680,non_FS_22,14.0
E00054680,non_FS_41,27.0
