"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
"2021","Surrey Heath","E07000214",36008,0,9067,12523,6175,5919,1662,464,141,57
"2021","Tandridge","E07000215",35623,0,9702,12155,6020,5551,1616,416,109,54
"2021","Waverley","E07000216",52448,0,14642,18641,8096,8118,2315,462,122,52
"2021","Woking","E07000217",41436,0,11124,13518,6998,6671,2068,664,235,158
"2021","Adur","E07000223",27677,0,8414,9684,4360,3696,1128,269,85,41
"2021","Arun","E07000224",72661,0,22768,27801,10420,8088,2553,713,209,109
"2021","Chichester","E07000225",54122,0,16841,20980,7468,6187,1946,505,134,61
"2021","Crawley","E07000226",45502,0,11517,13987,8280,7360,2792,1056,322,188
"2021","Horsham","E07000227",62368,0,17535,23545,9676,8486,2365,585,109,67
"2021","Mid Sussex","E07000228",63349,0,17421,22501,10289,9613,2682,625,134,84
"2021","Worthing","E07000229",49535,0,16764,17066,7455,5837,1729,495,132,57
"2021","Bath and North East Somerset","E06000022",79250,0,23077,28379,12065,11067,3378,931,246,107
"2021","Bristol, City of","E06000023",191639,0,57862,64236,30135,25245,8788,3225,1181,967
"2021","North Somerset","E06000024",94649,0,29090,34811,13872,12183,3475,877,222,119
"2021","South Gloucestershire","E06000025",118101,0,30747,42563,19821,17980,5059,1360,382,189
"2021","Plymouth","E06000026",114557,0,37338,40178,17651,13129,4290,1347,379,245
"2021","Torbay","E06000027",62994,0,21883,22917,8508,6310,2235,714,245,182
"2021","Swindon","E06000030",95863,0,27219,31933,16144,13822,4530,1375,483,357
"2021","Cornwall","E06000052",250538,0,76862,96146,36219,28035,9232,2753,848,443
"2021","Isles of Scilly","E06000053",943,0,307,402,94,95,26,11,3,5
"2021","Wiltshire","E06000054",215083,0,60574,81164,33692,28205,8490,2186,535,237
"2021","Bournemouth, Christchurch and Poole","E06000058",173841,0,56531,61650,25969,20627,6340,1877,568,279
"2021","Dorset","E06000059",169257,0,51741,68961,22917,18049,5470,1488,408,223
"2021","East Devon","E07000040",66788,0,20056,27221,8914,7329,2324,646,182,116
"2021","Exeter","E07000041",52553,0,17021,17881,7823,6378,2215,814,263,158
"2021","Mid Devon","E07000042",35631,0,10238,13825,5031,4448,1468,427,119,75
"2021","North Devon","E07000043",43197,0,13257,16576,6096,4968,1605,477,136,82
"2021","South Hams","E07000044",39337,0,11621,15975,5492,4368,1369,361,90,61
"2021","Teignbridge","E07000045",59837,0,18406,23537,8351,6722,2012,573,157,79
"2021","Torridge","E07000046",30460,0,9330,12392,4058,3100,1066,364,97,53
"2021","West Devon","E07000047",24819,0,7300,10182,3325,2711,919,251,72,59
"2021","Cheltenham","E07000078",52899,0,18432,18513,7319,6242,1773,426,121,73
"2021","Cotswold","E07000079",40592,0,12261,16288,5646,4631,1335,317,73,41
"2021","Forest of Dean","E07000080",37216,0,10579,14707,5620,4251,1431,438,123,67
"2021","Gloucester","E07000081",55407,0,16754,18652,8986,7284,2549,812,231,139
"2021","Stroud","E07000082",52378,0,15257,19795,7870,6814,1956,513,116,57
"2021","Tewkesbury","E07000083",40931,0,11551,15605,6296,5508,1452,365,105,49
"2021","Mendip","E07000187",50293,0,15152,18961,7544,6082,1828,530,142,54
