date,geography,geography code,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Part-time,Hours worked: Part-time: 15 hours or less worked,Hours worked: Part-time: 16 to 30 hours worked,Hours worked: Full-time,Hours worked: Full-time: 31 to 48 hours worked,Hours worked: Full-time: 49 or more hours worked
2021,Redbridge,E09000026,141628,44843,16639,28204,96785,81723,15062
2021,Richmond upon Thames,E09000027,97565,25870,10880,14990,71695,54047,17648
2021,Southwark,E09000028,166948,41968,16582,25386,124980,99680,25300
2021,Sutton,E09000029,104226,29203,10702,18501,75023,64135,10888
2021,Tower Hamlets,E09000030,155392,40837,15607,25230,114555,90675,23880
2021,Waltham Forest,E09000031,140371,40743,15075,25668,99628,84719,14909
2021,Wandsworth,E09000032,190442,38648,15478,23170,151794,115966,35828
2021,Westminster,E09000033,101742,24638,10669,13969,77104,51876,25228
2021,Isle of Anglesey,W06000001,29202,9257,2716,6541,19945,16493,3452
2021,Gwynedd,W06000002,51817,17020,5463,11557,34797,28757,6040
2021,Conwy,W06000003,48723,16048,4839,11209,32675,27174,5501
2021,Denbighshire,W06000004,40846,12759,3663,9096,28087,23419,4668
2021,Flintshire,W06000005,73820,19818,5865,13953,54002,46993,7009
2021,Wrexham,W06000006,61805,17268,4839,12429,44537,38453,6084
2021,Ceredigion,W06000008,30120,10456,3722,6734,19664,15454,4210
2021,Pembrokeshire,W06000009,52765,18271,5952,12319,34494,26956,7538
2021,Carmarthenshire,W06000010,81951,24778,7197,17581,57173,46871,10302
2021,Swansea,W06000011,100614,32516,10054,22462,68098,59498,8600
2021,Neath Port Talbot,W06000012,59189,17115,4728,12387,42074,36863,5211
2021,Bridgend,W06000013,63984,17842,5055,12787,46142,40185,5957
2021,Vale of Glamorgan,W06000014,59915,18238,5646,12592,41677,35437,6240
2021,Cardiff,W06000015,160438,49378,17027,32351,111060,97640,13420
2021,Rhondda Cynon Taff,W06000016,103389,28836,7846,20990,74553,65567,8986
2021,Caerphilly,W06000018,77438,20652,5540,15112,56786,50176,6610
2021,Blaenau Gwent,W06000019,28799,7587,1946,5641,21212,18817,2395
2021,Torfaen,W06000020,40658,11084,3040,8044,29574,26129,3445
2021,Monmouthshire,W06000021,42830,13045,4443,8602,29785,24311,5474
2021,Newport,W06000022,72789,20651,5764,14887,52138,45562,6576
2021,Powys,W06000023,61726,19908,6445,13463,41818,31754,10064
2021,Merthyr Tydfil,W06000024,25635,7043,1832,5211,18592,16279,2313
