Nature of Organisation,Beneficiary Group,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food,date - Year,long,lat,name,details.address.postcode,allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long
Food service only,Asylum seekers & refugees,Hamara Hlc,25.8,61.4298,1,115,80.50,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Food service only,Asylum seekers & refugees,Hamara Hlc,368.1,876.4461,1,115,"1,193.09",2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Food service only,Asylum seekers & refugees,Hamara Hlc,20.2,48.0962,1,115,63.02,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Food service only,Asylum seekers & refugees,Hamara Hlc,172.4,410.4844,1,115,805.36,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Food service only,Asylum seekers & refugees,Hamara Hlc,157.6,375.2456,1,115,642.86,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6RD,53.772544,-1.55058
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,17.4,41.4294,1,115,54.29,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,125.4,298.5774,1,115,394.52,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,28.2,67.1442,1,115,87.98,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,77.6,184.7656,1,115,252.36,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,11.6,27.6196,1,115,36.19,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Advice / Resource centre,Asylum seekers & refugees,PAFRAS,70.8,168.5748,1,115,175.00,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 1AB,53.808597,-1.532078
Community centre,Asylum seekers & refugees,Safety First Community Training Centre,26.4,62.8584,1,115,82.37,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD1 1HA,53.794013,-1.751373
Community centre,Asylum seekers & refugees,Safety First Community Training Centre,118.8,282.8628,1,115,373.93,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 1HA,53.794013,-1.751373
Community centre,Asylum seekers & refugees,Safety First Community Training Centre,20.2,48.0962,1,115,63.02,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD1 1HA,53.794013,-1.751373
Community centre,Asylum seekers & refugees,Safety First Community Training Centre,132.4,315.2444,1,115,593.98,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 1HA,53.794013,-1.751373
Community centre,Asylum seekers & refugees,Safety First Community Training Centre,51.95,123.69295,1,115,309.62,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD1 1HA,53.794013,-1.751373
Training centre,"Black, Asian & minority ethnicities",Advancement of Community Empowerment,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD8 7HP,53.803953,-1.762456
Training centre,"Black, Asian & minority ethnicities",Advancement of Community Empowerment,105.1,250.2431,1,115,399.87,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD8 7HP,53.803953,-1.762456
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,10,23.81,1,115,31.20,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,184.95,440.36595,1,115,678.20,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,23,54.763,1,115,164.22,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,33.4,79.5254,1,115,104.21,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,118.4,281.9104,1,115,535.30,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,164.4,391.4364,1,115,808.80,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC,16,38.096,1,115,114.24,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC (YSH),119.5,284.5295,1,115,853.23,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS9 8SS,53.797896,-1.526276
Day centre / Drop in centre,"Black, Asian & minority ethnicities",Complete Woman CIC (YSH),35.364,84.201684,1,115,252.50,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS9 8SS,53.797896,-1.526276
Faith organisation,"Black, Asian & minority ethnicities",New Horizon Food Bank (WEDNESDAY),16.4,39.0484,1,115,51.17,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 4JE,53.823934,-1.531319
Faith organisation,"Black, Asian & minority ethnicities",New Horizon Food Bank (WEDNESDAY),30.5,72.6205,1,115,123.76,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 4JE,53.823934,-1.531319
Community centre,"Black, Asian & minority ethnicities",Shantona Women s Centre HH,14,33.334,1,115,58.94,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5AW,53.815161,-1.521434
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,18,42.858,1,115,56.16,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,132.8,316.1968,1,115,425.99,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,20,47.62,1,115,102.60,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,17.2,40.9532,1,115,53.66,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,178.8,425.7228,1,115,855.44,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,163.96,390.38876,1,115,"1,170.67",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,105.1,250.2431,1,115,464.99,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 5QD,53.812262,-1.520282
Faith organisation,"Black, Asian & minority ethnicities",St Aidans Church Community Share Foodbank,53,126.193,1,115,378.42,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS8 5QD,53.812262,-1.520282
Advice / Resource centre,"Black, Asian & minority ethnicities",St Vincents Support Centre & Cafe Healtht Holidays,20,47.62,1,115,62.40,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LF,53.797287,-1.518362
School,Children (Under 18),Allerton Bywater Primary School,28.4,67.6204,1,115,88.61,2022,-1.551651,53.790612,Fruit,LS11 5JJ,WF10 2DR,53.747037,-1.370981
School,Children (Under 18),Allerton Bywater Primary School,149.1,355.0071,1,115,472.82,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,WF10 2DR,53.747037,-1.370981
School,Children (Under 18),Allerton Bywater Primary School,0,0,1,115,0.00,2023,-1.551651,53.790612,Fruit,LS11 5JJ,WF10 2DR,53.747037,-1.370981
School,Children (Under 18),Allerton Bywater Primary School,123.3,293.5773,1,115,678.24,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,WF10 2DR,53.747037,-1.370981
School,Children (Under 18),Allerton Bywater Primary School,89.2,212.3852,1,115,375.59,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,WF10 2DR,53.747037,-1.370981
School,Children (Under 18),Allerton C of E Primary,35,83.335,1,115,109.20,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Allerton C of E Primary,125.55,298.93455,1,115,452.22,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Allerton C of E Primary,26,61.906,1,115,81.12,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Allerton C of E Primary,157.8,375.7218,1,115,819.70,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Allerton C of E Primary,5.8,13.8098,1,115,18.10,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Allerton C of E Primary,106.8,254.2908,1,115,565.57,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS17 7HL,53.848813,-1.547119
School,Children (Under 18),Barkerend Primary Academy (Foodbank),10.8,25.7148,1,115,33.70,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Barkerend Primary Academy (Foodbank),111.6,265.7196,1,115,348.19,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Barkerend Primary Academy (Foodbank),21.2,50.4772,1,115,66.14,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Barkerend Primary Academy (Foodbank),87.6,208.5756,1,115,468.68,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Barkerend Primary Academy (Foodbank),17.4,41.4294,1,115,54.29,2024,-1.551651,53.790612,Fruit,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Barkerend Primary Academy (Foodbank),60,142.86,1,115,187.20,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD3 0QT,53.797723,-1.736378
School,Children (Under 18),Boothroyd Primary Academy,13.7,32.6197,1,115,42.74,2022,-1.413575,53.533241,Fruit,S73 8HA,WF13 3QE,53.685636,-1.646745
School,Children (Under 18),Boothroyd Primary Academy,119.8,285.2438,1,115,584.83,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF13 3QE,53.685636,-1.646745
School,Children (Under 18),Boothroyd Primary Academy,31.9,75.9539,1,115,227.77,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF13 3QE,53.685636,-1.646745
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,102.7,244.5287,1,115,416.02,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,32,76.192,1,115,188.28,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,23.4,55.7154,1,115,73.01,2023,-1.551651,53.790612,Fruit,LS11 5JJ,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,134.6,320.4826,1,115,582.89,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,31.48,74.95388,1,115,224.77,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD5 9HL,53.778851,-1.777287
School,Children (Under 18),Canterbury Nursery School & Centre for Children and Families,106.5,253.5765,1,115,499.91,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,BD5 9HL,53.778851,-1.777287
Food service only,Children (Under 18),Catch/Ark Community Cafe (HH),6.4,15.2384,1,115,19.97,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 3QY,53.816336,-1.512463
Food service only,Children (Under 18),Catch/Ark Community Cafe (HH),14.4,34.2864,1,115,29.95,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS8 3QY,53.816336,-1.512463
Food service only,Children (Under 18),Catch/Ark Community Cafe (HH),9.6,22.8576,1,115,29.95,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS8 3QY,53.816336,-1.512463
Community centre,Children (Under 18),CFYDC (Chance),37.4,89.0494,1,115,116.69,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),120.35,286.55335,1,115,497.35,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),35.1,83.5731,1,115,210.41,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),34,80.954,1,115,91.10,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),128.6,306.1966,1,115,537.92,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),224.88,535.43928,1,115,"1,565.44",2023,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),167,397.627,1,115,897.36,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Chance),7.2,17.1432,1,115,51.41,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Touchstone),20,47.62,1,115,62.40,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC (Touchstone),18,42.858,1,115,64.20,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2HJ,53.818757,-1.542567
Community centre,Children (Under 18),CFYDC Chance YSH,37.2,88.5732,1,115,225.41,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2HJ,53.818757,-1.542567
Food service only,Children (Under 18),Christ Church EC Academy,62.5,148.8125,1,115,336.66,2022,-1.413575,53.533241,Vegetable,S73 8HA,HD2 1JP,53.671663,-1.762429
Food service only,Children (Under 18),Christ Church EC Academy,11.4,27.1434,1,115,35.57,2023,-1.413575,53.533241,Fruit,S73 8HA,HD2 1JP,53.671663,-1.762429
Food service only,Children (Under 18),Christ Church EC Academy,91,216.671,1,115,560.50,2023,-1.413575,53.533241,Vegetable,S73 8HA,HD2 1JP,53.671663,-1.762429
Food service only,Children (Under 18),Christ Church EC Academy,39.6,94.2876,1,115,263.45,2024,-1.413575,53.533241,Vegetable,S73 8HA,HD2 1JP,53.671663,-1.762429
,Children (Under 18),DAZL HH,5,11.905,1,115,15.60,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4HX,53.742632,-1.546323
,Children (Under 18),DAZL HH,18,42.858,1,115,56.16,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4HX,53.742632,-1.546323
,Children (Under 18),DAZL HH,19.2,45.7152,1,115,59.90,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4HX,53.742632,-1.546323
,Children (Under 18),DAZL HH,16.6,39.5246,1,115,51.79,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4HX,53.742632,-1.546323
,Children (Under 18),DAZL HH,9,21.429,1,115,28.08,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 4HX,53.742632,-1.546323
,Children (Under 18),DAZL HH,11,26.191,1,115,34.32,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS10 4HX,53.742632,-1.546323
Out of school club,Children (Under 18),Game Changerz,47.3,112.6213,1,115,147.58,2022,-1.413575,53.533241,Fruit,S73 8HA,WF17 9BP,53.741719,-1.661042
Out of school club,Children (Under 18),Game Changerz,61,145.241,1,115,238.42,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF17 9BP,53.741719,-1.661042
Out of school club,Children (Under 18),Game Changerz,34.2,81.4302,1,115,106.70,2023,-1.413575,53.533241,Fruit,S73 8HA,WF17 9BP,53.741719,-1.661042
Out of school club,Children (Under 18),Game Changerz,98.2,233.8142,1,115,525.10,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF17 9BP,53.741719,-1.661042
Out of school club,Children (Under 18),Game Changerz,69.8,166.1938,1,115,450.99,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF17 9BP,53.741719,-1.661042
School,Children (Under 18),Guiseley Community Foundation HH,12,28.572,1,115,29.95,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS19 7LF,53.871997,-1.690149
School,Children (Under 18),Guiseley Community Foundation HH,12,28.572,1,115,37.44,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS19 7LF,53.871997,-1.690149
Community centre,Children (Under 18),Gummy Bears Nursery,28.7,68.3347,1,115,89.54,2022,-1.413575,53.533241,Fruit,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery,85.2,202.8612,1,115,366.73,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery,34.2,81.4302,1,115,106.70,2023,-1.413575,53.533241,Fruit,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery,64,152.384,1,115,367.72,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery,44.4,105.7164,1,115,297.72,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery (YSH),60,142.86,1,115,348.00,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery (YSH),107,254.767,1,115,763.98,2023,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Community centre,Children (Under 18),Gummy Bears Nursery (YSH),46.164,109.916484,1,115,329.61,2024,-1.413575,53.533241,Vegetable,S73 8HA,BD19 4PY,53.729049,-1.683004
Food service only,Children (Under 18),Headfield Junior School,45.7,108.8117,1,115,259.82,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,Children (Under 18),Headfield Junior School,11.4,27.1434,1,115,35.57,2023,-1.413575,53.533241,Fruit,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,Children (Under 18),Headfield Junior School,83.4,198.5754,1,115,537.19,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,Children (Under 18),Headfield Junior School,41.4,98.5734,1,115,257.00,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 9PD,53.678462,-1.634315
Food service only,Children (Under 18),High Crags (YSH),13.3,31.6673,1,115,54.76,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD18 2ES,53.828782,-1.769593
School,Children (Under 18),Howard Park Community School,5.2,12.3812,1,115,37.13,2022,-1.413575,53.533241,Vegetable,S73 8HA,BD19 3SD,53.723088,-1.709809
Community centre,Children (Under 18),Hunslet Club HH,4.8,11.4288,1,115,,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS10 1BP,53.779802,-1.535175
School,Children (Under 18),Kippax Ash,29.2,69.5252,1,115,168.29,2022,-1.413575,53.533241,Vegetable,S73 8HA,LS25 7JL,53.770279,-1.363821
School,Children (Under 18),Lee Mount Primary,22,52.382,1,115,68.64,2022,-1.551651,53.790612,Fruit,LS11 5JJ,HX3 5EB,53.732849,-1.876332
School,Children (Under 18),Lee Mount Primary,126.7,301.6727,1,115,395.30,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,HX3 5EB,53.732849,-1.876332
School,Children (Under 18),Lee Mount Primary,15.2,36.1912,1,115,47.42,2023,-1.551651,53.790612,Fruit,LS11 5JJ,HX3 5EB,53.732849,-1.876332
School,Children (Under 18),Lee Mount Primary,45.8,109.0498,1,115,158.98,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,HX3 5EB,53.732849,-1.876332
Community centre,Children (Under 18),Leeds Learning Partnership HH,4.8,11.4288,1,115,,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 6HR,53.803122,-1.505005
Community centre,Children (Under 18),Leeds Learning Partnership HH,7,16.667,1,115,,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 6HR,53.803122,-1.505005
School,Children (Under 18),Leeds Mencap (Jimbo's),6,14.286,1,115,18.72,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 9LU,53.79683,-1.511592
School,Children (Under 18),Leeds Mencap (Jimbo's),103.5,246.4335,1,115,326.19,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LU,53.79683,-1.511592
School,Children (Under 18),Leeds Mencap (Jimbo's),15.4,36.6674,1,115,48.05,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS9 9LU,53.79683,-1.511592
School,Children (Under 18),Leeds Mencap (Jimbo's),89.1,212.1471,1,115,373.06,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LU,53.79683,-1.511592
School,Children (Under 18),Leeds Mencap (Jimbo's),52.9,125.9549,1,115,244.24,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS9 9LU,53.79683,-1.511592
Training centre,Children (Under 18),NACRO College (Leeds),69.1,164.5271,1,115,314.25,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2JF,53.817606,-1.549505
Training centre,Children (Under 18),NACRO College (Leeds),52,123.812,1,115,371.28,2023,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2JF,53.817606,-1.549505
Training centre,Children (Under 18),NACRO College (Leeds),16,38.096,1,115,49.92,2024,-1.551651,53.790612,Fruit,LS11 5JJ,LS7 2JF,53.817606,-1.549505
Training centre,Children (Under 18),NACRO College (Leeds),110.4,262.8624,1,115,485.15,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS7 2JF,53.817606,-1.549505
Training centre,Children (Under 18),NACRO College (Leeds),32.432,77.220592,1,115,231.56,2024,-1.413575,53.533241,Vegetable,S73 8HA,LS7 2JF,53.817606,-1.549505
School,Children (Under 18),Newsome High School Youth Club,6.4,15.2384,1,115,19.97,2022,-1.551651,53.790612,Fruit,LS11 5JJ,HD4 6JN,53.626359,-1.787827
School,Children (Under 18),Newsome High School Youth Club,103.9,247.3859,1,115,345.88,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,HD4 6JN,53.626359,-1.787827
School,Children (Under 18),Newsome High School Youth Club,25.8,61.4298,1,115,80.50,2023,-1.551651,53.790612,Fruit,LS11 5JJ,HD4 6JN,53.626359,-1.787827
School,Children (Under 18),Newsome High School Youth Club,141.5,336.9115,1,115,724.22,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,HD4 6JN,53.626359,-1.787827
School,Children (Under 18),Newsome High School Youth Club,95.2,226.6712,1,115,374.21,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,HD4 6JN,53.626359,-1.787827
Community centre,Children (Under 18),Nik Niks Bizzy Bees,41.5,98.8115,1,115,129.48,2022,-1.413575,53.533241,Fruit,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,Children (Under 18),Nik Niks Bizzy Bees,36.1,85.9541,1,115,194.24,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,Children (Under 18),Nik Niks Bizzy Bees,22.8,54.2868,1,115,71.14,2023,-1.413575,53.533241,Fruit,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,Children (Under 18),Nik Niks Bizzy Bees,100.5,239.2905,1,115,606.64,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Community centre,Children (Under 18),Nik Niks Bizzy Bees,52.8,125.7168,1,115,338.40,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0QX,53.663716,-1.623728
Day centre / Drop in centre,Children (Under 18),Overthorpe Academy CofE,44.1,105.0021,1,115,137.59,2022,-1.413575,53.533241,Fruit,S73 8HA,WF12 0BH,53.663331,-1.633069
Day centre / Drop in centre,Children (Under 18),Overthorpe Academy CofE,71.4,170.0034,1,115,287.17,2022,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0BH,53.663331,-1.633069
Day centre / Drop in centre,Children (Under 18),Overthorpe Academy CofE,68,161.908,1,115,485.52,2023,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0BH,53.663331,-1.633069
Day centre / Drop in centre,Children (Under 18),Overthorpe Academy CofE,48.4,115.2404,1,115,306.98,2024,-1.413575,53.533241,Vegetable,S73 8HA,WF12 0BH,53.663331,-1.633069
School,Children (Under 18),Reach Primary Learning Centre,22,52.382,1,115,68.64,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 6NN,53.782477,-1.546012
School,Children (Under 18),Reach Primary Learning Centre,110.3,262.6243,1,115,344.14,2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6NN,53.782477,-1.546012
School,Children (Under 18),Reach Primary Learning Centre,18.4,43.8104,1,115,57.41,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 6NN,53.782477,-1.546012
School,Children (Under 18),Reach Primary Learning Centre,118.6,282.3866,1,115,471.01,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6NN,53.782477,-1.546012
School,Children (Under 18),Reach Primary Learning Centre,95.4,227.1474,1,115,439.15,2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS11 6NN,53.782477,-1.546012
Community centre,Children (Under 18),Reestablish (HH),7.2,17.1432,1,115,22.46,2023,-1.551651,53.790612,Fruit,LS11 5JJ,LS11 7LX,53.775578,-1.55912
Food service only,Children (Under 18),Rethink Food,84,200.004,1,115,262.08,2022,-1.551651,53.790612,Fruit,LS11 5JJ,LS12 6HH,53.781468,-1.56994
Food service only,Children (Under 18),Rethink Food,1134.5,2701.2445,1,115,"4,761.64",2022,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 6HH,53.781468,-1.56994
Food service only,Children (Under 18),Rethink Food,508.2,1210.0242,1,115,743.62,2023,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 6HH,53.781468,-1.56994
Food service only,Children (Under 18),Rethink Food,359,854.779,1,115,"2,563.26",2024,-1.551651,53.790612,Vegetable,LS11 5JJ,LS12 6HH,53.781468,-1.56994
